date,rank,song,artist,last-week,peak-rank,weeks-on-board
23/12/1978,1,Le Freak,Chic,2,1,9
30/12/1978,1,Le Freak,Chic,,1,10
06/01/1979,1,Too Much Heaven,Bee Gees,2,1,8
13/01/1979,1,Too Much Heaven,Bee Gees,1,1,9
20/01/1979,1,Le Freak,Chic,2,1,13
27/01/1979,1,Le Freak,Chic,1,1,14
03/02/1979,1,Le Freak,Chic,1,1,15
10/02/1979,1,Da Ya Think I'm Sexy?,Rod Stewart,3,1,8
17/02/1979,1,Da Ya Think I'm Sexy?,Rod Stewart,1,1,9
24/02/1979,1,Da Ya Think I'm Sexy?,Rod Stewart,1,1,10
03/03/1979,1,Da Ya Think I'm Sexy?,Rod Stewart,1,1,11
10/03/1979,1,I Will Survive,Gloria Gaynor,3,1,13
17/03/1979,1,I Will Survive,Gloria Gaynor,1,1,14
24/03/1979,1,Tragedy,Bee Gees,2,1,7
31/03/1979,1,Tragedy,Bee Gees,1,1,8
07/04/1979,1,I Will Survive,Gloria Gaynor,2,1,17
14/04/1979,1,What A Fool Believes,The Doobie Brothers,2,1,13
21/04/1979,1,Knock On Wood,Amii Stewart,3,1,13
28/04/1979,1,Heart Of Glass,Blondie,3,1,11
05/05/1979,1,Reunited,Peaches & Herb,2,1,8
12/05/1979,1,Reunited,Peaches & Herb,1,1,9
19/05/1979,1,Reunited,Peaches & Herb,1,1,10
26/05/1979,1,Reunited,Peaches & Herb,1,1,11
02/06/1979,1,Hot Stuff,Donna Summer,2,1,7
09/06/1979,1,Love You Inside Out,Bee Gees,3,1,8
16/06/1979,1,Hot Stuff,Donna Summer,2,1,9
23/06/1979,1,Hot Stuff,Donna Summer,1,1,10
30/06/1979,1,Ring My Bell,Anita Ward,3,1,8
07/07/1979,1,Ring My Bell,Anita Ward,1,1,9
14/07/1979,1,Bad Girls,Donna Summer,2,1,8
21/07/1979,1,Bad Girls,Donna Summer,1,1,9
28/07/1979,1,Bad Girls,Donna Summer,1,1,10
04/08/1979,1,Bad Girls,Donna Summer,1,1,11
11/08/1979,1,Bad Girls,Donna Summer,1,1,12
18/08/1979,1,Good Times,Chic,2,1,10
25/08/1979,1,My Sharona,The Knack,2,1,10
01/09/1979,1,My Sharona,The Knack,1,1,11
08/09/1979,1,My Sharona,The Knack,1,1,12
15/09/1979,1,My Sharona,The Knack,1,1,13
22/09/1979,1,My Sharona,The Knack,1,1,14
29/09/1979,1,My Sharona,The Knack,1,1,15
06/10/1979,1,Sad Eyes,Robert John,2,1,21
13/10/1979,1,Don't Stop 'til You Get Enough,Michael Jackson,2,1,12
20/10/1979,1,Rise,Herb Alpert,2,1,13
27/10/1979,1,Rise,Herb Alpert,1,1,14
03/11/1979,1,Pop Muzik,M,2,1,13
10/11/1979,1,Heartache Tonight,Eagles,2,1,6
17/11/1979,1,Still,Commodores,3,1,8
24/11/1979,1,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,3,1,6
01/12/1979,1,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer,1,1,7
08/12/1979,1,Babe,Styx,2,1,10
15/12/1979,1,Babe,Styx,1,1,11
22/12/1979,1,Escape (The Pina Colada Song),Rupert Holmes,4,1,10
29/12/1979,1,Escape (The Pina Colada Song),Rupert Holmes,,1,11
05/01/1980,1,Please Don't Go,KC And The Sunshine Band,2,1,20
12/01/1980,1,Escape (The Pina Colada Song),Rupert Holmes,2,1,13
19/01/1980,1,Rock With You,Michael Jackson,2,1,12
26/01/1980,1,Rock With You,Michael Jackson,1,1,13
02/02/1980,1,Rock With You,Michael Jackson,1,1,14
09/02/1980,1,Rock With You,Michael Jackson,1,1,15
16/02/1980,1,Do That To Me One More Time,Captain & Tennille,2,1,18
23/02/1980,1,Crazy Little Thing Called Love,Queen,2,1,10
01/03/1980,1,Crazy Little Thing Called Love,Queen,1,1,11
08/03/1980,1,Crazy Little Thing Called Love,Queen,1,1,12
15/03/1980,1,Crazy Little Thing Called Love,Queen,1,1,13
22/03/1980,1,Another Brick In The Wall (Part II),Pink Floyd,3,1,10
29/03/1980,1,Another Brick In The Wall (Part II),Pink Floyd,1,1,11
05/04/1980,1,Another Brick In The Wall (Part II),Pink Floyd,1,1,12
12/04/1980,1,Another Brick In The Wall (Part II),Pink Floyd,1,1,13
19/04/1980,1,Call Me,Blondie,2,1,10
26/04/1980,1,Call Me,Blondie,1,1,11
03/05/1980,1,Call Me,Blondie,1,1,12
10/05/1980,1,Call Me,Blondie,1,1,13
17/05/1980,1,Call Me,Blondie,1,1,14
24/05/1980,1,Call Me,Blondie,1,1,15
31/05/1980,1,Funkytown,"Lipps, Inc.",2,1,10
07/06/1980,1,Funkytown,"Lipps, Inc.",1,1,11
14/06/1980,1,Funkytown,"Lipps, Inc.",1,1,12
21/06/1980,1,Funkytown,"Lipps, Inc.",1,1,13
28/06/1980,1,Coming Up (Live At Glasgow),Paul McCartney And Wings,2,1,10
05/07/1980,1,Coming Up (Live At Glasgow),Paul McCartney And Wings,1,1,11
12/07/1980,1,Coming Up (Live At Glasgow),Paul McCartney And Wings,1,1,12
19/07/1980,1,It's Still Rock And Roll To Me,Billy Joel,2,1,9
26/07/1980,1,It's Still Rock And Roll To Me,Billy Joel,1,1,10
02/08/1980,1,Magic,Olivia Newton-John,2,1,11
09/08/1980,1,Magic,Olivia Newton-John,1,1,12
16/08/1980,1,Magic,Olivia Newton-John,1,1,13
23/08/1980,1,Magic,Olivia Newton-John,1,1,14
30/08/1980,1,Sailing,Christopher Cross,2,1,12
06/09/1980,1,Upside Down,Diana Ross,2,1,9
13/09/1980,1,Upside Down,Diana Ross,1,1,10
20/09/1980,1,Upside Down,Diana Ross,1,1,11
27/09/1980,1,Upside Down,Diana Ross,1,1,12
04/10/1980,1,Another One Bites The Dust,Queen,3,1,8
11/10/1980,1,Another One Bites The Dust,Queen,1,1,9
18/10/1980,1,Another One Bites The Dust,Queen,1,1,10
25/10/1980,1,Woman In Love,Barbra Streisand,2,1,8
01/11/1980,1,Woman In Love,Barbra Streisand,1,1,9
08/11/1980,1,Woman In Love,Barbra Streisand,1,1,10
15/11/1980,1,Lady,Kenny Rogers,2,1,7
22/11/1980,1,Lady,Kenny Rogers,1,1,8
29/11/1980,1,Lady,Kenny Rogers,1,1,9
06/12/1980,1,Lady,Kenny Rogers,1,1,10
13/12/1980,1,Lady,Kenny Rogers,1,1,11
20/12/1980,1,Lady,Kenny Rogers,1,1,12
27/12/1980,1,(Just Like) Starting Over,John Lennon,3,1,9
03/01/1981,1,(Just Like) Starting Over,John Lennon,,1,10
10/01/1981,1,(Just Like) Starting Over,John Lennon,1,1,11
17/01/1981,1,(Just Like) Starting Over,John Lennon,1,1,12
24/01/1981,1,(Just Like) Starting Over,John Lennon,1,1,13
31/01/1981,1,The Tide Is High,Blondie,3,1,12
07/02/1981,1,Celebration,Kool & The Gang,3,1,16
14/02/1981,1,Celebration,Kool & The Gang,1,1,17
21/02/1981,1,9 To 5,Dolly Parton,2,1,13
28/02/1981,1,I Love A Rainy Night,Eddie Rabbitt,2,1,17
07/03/1981,1,I Love A Rainy Night,Eddie Rabbitt,1,1,18
14/03/1981,1,9 To 5,Dolly Parton,2,1,16
21/03/1981,1,Keep On Loving You,REO Speedwagon,2,1,17
28/03/1981,1,Rapture,Blondie,6,1,9
04/04/1981,1,Rapture,Blondie,1,1,10
11/04/1981,1,Kiss On My List,Daryl Hall John Oates,4,1,12
18/04/1981,1,Kiss On My List,Daryl Hall John Oates,1,1,13
25/04/1981,1,Kiss On My List,Daryl Hall John Oates,1,1,14
02/05/1981,1,Morning Train (Nine To Five),Sheena Easton,2,1,12
09/05/1981,1,Morning Train (Nine To Five),Sheena Easton,1,1,13
16/05/1981,1,Bette Davis Eyes,Kim Carnes,5,1,8
23/05/1981,1,Bette Davis Eyes,Kim Carnes,1,1,9
30/05/1981,1,Bette Davis Eyes,Kim Carnes,1,1,10
06/06/1981,1,Bette Davis Eyes,Kim Carnes,1,1,11
13/06/1981,1,Bette Davis Eyes,Kim Carnes,1,1,12
20/06/1981,1,Medley,Stars On 45,2,1,11
27/06/1981,1,Bette Davis Eyes,Kim Carnes,2,1,14
04/07/1981,1,Bette Davis Eyes,Kim Carnes,1,1,15
11/07/1981,1,Bette Davis Eyes,Kim Carnes,1,1,16
18/07/1981,1,Bette Davis Eyes,Kim Carnes,1,1,17
25/07/1981,1,The One That You Love,Air Supply,3,1,11
01/08/1981,1,Jessie's Girl,Rick Springfield,3,1,19
08/08/1981,1,Jessie's Girl,Rick Springfield,1,1,20
15/08/1981,1,Endless Love,Diana Ross & Lionel Richie,2,1,6
22/08/1981,1,Endless Love,Diana Ross & Lionel Richie,1,1,7
29/08/1981,1,Endless Love,Diana Ross & Lionel Richie,1,1,8
05/09/1981,1,Endless Love,Diana Ross & Lionel Richie,1,1,9
12/09/1981,1,Endless Love,Diana Ross & Lionel Richie,1,1,10
19/09/1981,1,Endless Love,Diana Ross & Lionel Richie,1,1,11
26/09/1981,1,Endless Love,Diana Ross & Lionel Richie,1,1,12
03/10/1981,1,Endless Love,Diana Ross & Lionel Richie,1,1,13
10/10/1981,1,Endless Love,Diana Ross & Lionel Richie,1,1,14
17/10/1981,1,Arthur's Theme (Best That You Can Do),Christopher Cross,2,1,10
24/10/1981,1,Arthur's Theme (Best That You Can Do),Christopher Cross,1,1,11
31/10/1981,1,Arthur's Theme (Best That You Can Do),Christopher Cross,1,1,12
07/11/1981,1,Private Eyes,Daryl Hall John Oates,3,1,11
14/11/1981,1,Private Eyes,Daryl Hall John Oates,1,1,12
21/11/1981,1,Physical,Olivia Newton-John,3,1,8
28/11/1981,1,Physical,Olivia Newton-John,1,1,9
05/12/1981,1,Physical,Olivia Newton-John,1,1,10
12/12/1981,1,Physical,Olivia Newton-John,1,1,11
19/12/1981,1,Physical,Olivia Newton-John,1,1,12
26/12/1981,1,Physical,Olivia Newton-John,1,1,13
02/01/1982,1,Physical,Olivia Newton-John,,1,14
09/01/1982,1,Physical,Olivia Newton-John,1,1,15
16/01/1982,1,Physical,Olivia Newton-John,1,1,16
23/01/1982,1,Physical,Olivia Newton-John,1,1,17
30/01/1982,1,I Can't Go For That (No Can Do),Daryl Hall John Oates,4,1,12
06/02/1982,1,Centerfold,The J. Geils Band,3,1,14
13/02/1982,1,Centerfold,The J. Geils Band,1,1,15
20/02/1982,1,Centerfold,The J. Geils Band,1,1,16
27/02/1982,1,Centerfold,The J. Geils Band,1,1,17
06/03/1982,1,Centerfold,The J. Geils Band,1,1,18
13/03/1982,1,Centerfold,The J. Geils Band,1,1,19
20/03/1982,1,I Love Rock 'N Roll,Joan Jett & the Blackhearts,3,1,7
27/03/1982,1,I Love Rock 'N Roll,Joan Jett & the Blackhearts,1,1,8
03/04/1982,1,I Love Rock 'N Roll,Joan Jett & the Blackhearts,1,1,9
10/04/1982,1,I Love Rock 'N Roll,Joan Jett & the Blackhearts,1,1,10
17/04/1982,1,I Love Rock 'N Roll,Joan Jett & the Blackhearts,1,1,11
24/04/1982,1,I Love Rock 'N Roll,Joan Jett & the Blackhearts,1,1,12
01/05/1982,1,I Love Rock 'N Roll,Joan Jett & the Blackhearts,1,1,13
08/05/1982,1,Chariots Of Fire - Titles,Vangelis,2,1,22
15/05/1982,1,Ebony And Ivory,Paul McCartney And Stevie Wonder,2,1,6
22/05/1982,1,Ebony And Ivory,Paul McCartney And Stevie Wonder,1,1,7
